villeLabel;population;latitude;longitude
Vinça;2156;42.645;2.528611111
Boisseron;2153;43.759722222;4.081111111
Pomérols;2148;43.390833333;3.498611111
Argeliers;2142;43.311666666;2.910277777
Llupia;2140;42.621111111;2.769166666
Cotignac;2136;43.528611111;6.149444444
Vernègues;2123;43.685833333;5.171388888
Les Saintes-Maries-de-la-Mer;2120;43.451666666;4.428055555
Sainte-Anastasie-sur-Issole;2117;43.3425;6.124722222
Falicon;2111;43.748888888;7.279722222
Nages-et-Solorgues;2107;43.790833333;4.23
Valergues;2107;43.6675;4.061666666
Candillargues;2107;43.62;4.068055555
Saze;2104;43.941666666;4.681388888
Le Pouget;2099;43.592222222;3.524722222
Les Mages;2095;44.228055555;4.165833333
Saint-Nazaire-d'Aude;2091;43.244166666;2.894166666
Estagel;2087;42.772222222;2.698888888
Saint-Geniès-des-Mourgues;2077;43.696944444;4.035277777
Moussan;2066;43.231388888;2.950277777
Ribaute-les-Tavernes;2057;44.037777777;4.080833333
Montréal;2048;43.2;2.140833333
Les Matelles;2047;43.730555555;3.808888888
Lamanon;2046;43.701944444;5.086388888
Peri;2040;42.004166666;8.920833333
San-Nicolao;2033;42.375;9.525
Tavel;2031;44.011388888;4.7
Cuttoli-Corticchiato;2030;41.988611111;8.906388888
Sauveterre;2029;44.025833333;4.793055555
Monticello;2029;42.617222222;8.953888888
Saint-Marcel-sur-Aude;2027;43.243888888;2.9225
Corneilla-la-Rivière;2022;42.6975;2.730277777
Tende;2021;44.087777777;7.593611111
Callas;2015;43.593055555;6.538333333
Saint-Geniès-de-Comolas;2010;44.065833333;4.721944444
Saint-Chaptes;2004;43.970833333;4.279166666
Pinet;2004;43.404722222;3.509444444
Saint-Gervasy;1994;43.8775;4.468611111
Ginasservis;1983;43.670833333;5.849166666
Rieux-Minervois;1975;43.281944444;2.5875
Pietrosella;1968;41.836666666;8.846111111
Santa-Maria-di-Lota;1965;42.742777777;9.456666666
Ramatuelle;1963;43.215833333;6.611388888
Cabasse;1951;43.426111111;6.221944444
Belcodène;1948;43.426388888;5.589166666
Lecci;1939;41.679166666;9.3175
Murviel-lès-Montpellier;1930;43.604444444;3.736666666
Sauve;1925;43.9425;3.948611111
Saint-Bauzille-de-Putois;1911;43.895277777;3.736388888
Combaillaux;1909;43.677222222;3.766388888
Camps-la-Source;1901;43.386388888;6.094444444
Saint-Paulet-de-Caisson;1858;44.263333333;4.597222222
Villelongue-dels-Monts;1858;42.525277777;2.903611111
Taradeau;1854;43.454166666;6.427222222
Amélie-les-Bains;1847;42.4761;2.6725
Villevieille;1841;43.788611111;4.096388888
Collobrières;1839;43.237222222;6.308888888
Vézénobres;1836;44.053055555;4.136388888
Canet;1833;43.228611111;2.847222222
La Garde-Freinet;1831;43.316944444;6.469166666
Tourbes;1829;43.445555555;3.378611111
Abeilhan;1818;43.449722222;3.294722222
Roquebillière;1815;44.011111111;7.306944444
Puget-Théniers;1813;43.956111111;6.893611111
Venzolasca;1808;42.483888888;9.456666666
Tresques;1803;44.106666666;4.586944444
Oletta;1801;42.6325;9.355555555
Ortaffa;1798;42.58;2.925
Sernhac;1794;43.911388888;4.551944444
Quarante;1791;43.346666666;2.9625
La Palme;1784;42.974722222;2.993055555
Puyloubier;1783;43.525;5.676944444
Saussan;1783;43.571388888;3.774444444
Font-Romeu-Odeillo-Via;1780;42.497777777;2.033888888
Albitreccia;1775;41.862777777;8.941944444
Laurens;1774;43.523055555;3.197222222
Vers-Pont-du-Gard;1773;43.968611111;4.524444444
