itemLabel;population;latitude;longitude
Q55472825;8399;19.0727;100.0698
Q50309145;8357;17.162915;102.574519
Q43254491;8341;17.115071;103.018576
Q13025247;8314;6.08743549;101.87284573
Q15268904;8308;15.5183;103.1921
Q107671381;8297;17.285;103.2281
Q55472825;8271;19.0727;100.0698
Q15978651;8270;8.642;99.326
Q28572792;8264;16.074034;99.857364
Q107652451;8263;16.5288;102.4093
Q37420151;8249;17.404327;103.38572
Q107652312;8241;17.1963;103.1144
Q13025305;8237;14.3761;99.8922
Q6931931;8235;;
Q13025314;8231;16.233727185;103.813028933
Q58393537;8226;13.8005;100.1869
Q76449948;8211;7.593137;100.076503
Q108342620;8201;16.9276;98.5684
Q37420151;8172;17.404327;103.38572
Q13025320;8172;8.5851;99.589
Q15629555;8169;7.8165;98.3001
Karon;8147;7.8165;98.3001
Q28772816;8145;16.084;102.6193
Q28732194;8136;15.241666666;105.092222222
Q110218443;8135;16.8066;104.5337
Q19858139;8118;17.3639;101.7473
Q76449948;8116;7.593137;100.076503
Q42171534;8112;18.70566;99.106811
Q12005687;8093;13.92027778;99.76666667
Q13025268;8086;8.172242334;99.853342957
Q76124976;8061;18.421657;100.140268
Q16956760;8036;18.9755;98.982
Q108731638;8023;13.6456;100.2542
Q110739665;8019;16.6058;99.6516
Q15978651;8010;8.642;99.326
Q76124976;7983;18.421657;100.140268
Q97397848;7983;17.931389;102.532406
Q16859565;7981;14.867808151;103.842255595
Q13025315;7967;17.316026967;99.64518446
Q16325249;7957;15.2255;101.9112
Q104590976;7957;8.5967;98.257
Q19858139;7956;17.3639;101.7473
Q15243208;7946;17.382152286;99.791891348
Q16022987;7943;13.517718199;99.954514806
Q16022987;7943;13.518333333;99.954722222
